fpsicon,operatetemp,productlink,sensordet,productimage,resolutionicon,productcode,isp,filtervalue,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,productdesc,connectoricon,chromedet,imagealttag,sortfps,customRoiFps,connectordet,resolutiondet,focusicon,chromeicon,sensoricon
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/full-hd-ar0234-color-global-shutter-camera.asp,AR0234,/images/eCAM/e-CAM20_CUOAGX/six-synchronized-global-shutter-camera-thumb.png,/images/icons/resolution.png,e-CAM20_CUOAGX&nbsp;&nbsp;(AGX Orin),Yes,2mp mipi orin color fixed Global hd onsemi 100fps without-enclosure 3ps 1-26 smart_traffic auto_farming autonomous_mobile_robots yes,2,120FPS,137,all nvidia-camera platform,1/2.6,/webstore.asp#e-CAM20_CUOAGX,Six Synchronized global shutter camera for Jetson AGX Orin,/images/icons/usb.png,Color,Six Synchronized global shutter camera for Jetson AGX Orin,120,,MIPI CSI-2,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-20°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/ar0234-global-shutter-fpd-link-iii-synchronized-multi-camera.asp,AR0234,,,NeduCAM25_CUOAGX&nbsp;&nbsp;(AGX Orin),Yes,2mp orin color fixed Global hd onsemi 100fps without-enclosure 3ps 1-26 fpd-link-iii yes,2,120FPS,138,all nvidia-camera platform,1/2.6,/webstore.asp#NeduCAM25_CUOAGX,,,Color,,120,,FPD-Link III,Full HD,,,
,-40°C to +85°C,/nvidia-cameras/jetson-agx-orin-cameras/360-degree-bird-view-camera.asp,AR0233AT,,,ArniCAM20&nbsp;&nbsp;(AGX Orin),Yes,5mp gmsl color orin fixed 30fps onsemi rolling without-enclosure with-enclosure yes,4,30FPS,139,all nvidia-camera,1/2.5,/webstore.asp,,,Color,,30,,GMSL2,4.5 MP,,,
,-30°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/ar1335-13mp-gmsl2-camera.asp,AR1335,,,NileCAM130_CUOAGX (AGX Orin/AGX Xavier),Yes,13mp gmsl orin xavier color fixed rolling low-light ultra-hd onsemi 2-1ps 60fps without-enclosure 1-32 yes,13,72FPS,140,all nvidia-camera platform,1/3.2,/webstore.asp,,,Color,,72,,GMSL2,13.0 MP,,,
,-30°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/8mp-sony-starvis-imx715-low-light-gmsl3-camera.asp,IMX715,,,Nile3CAM85_CUOAGX (AGX Orin/AGX Xavier),No,8mp gmsl3 orin xavier color fixed rolling low-light ultra-hd sony starvis 2-1ps 60fps without-enclosure 1-28 no,8,90FPS,141,platform,1/2.8,/webstore.asp#Nile3CAM85_CUOAGX,,,Color,,90,,GMSL3,8.0 MP,,,
,-30°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/4k-sony-starvis2-imx585-gmsl-camera.asp,IMX585,,,NileCAM87_CUOAGX (AGX Orin),No,8mp gmsl orin color fixed rolling low-light ultra-hd sonyStarvisTwo 2-1ps 30fps  with-enclosure 1-12 no,8,44FPS,142,,1/1.2,/webstore.asp,,,Color,,44,,GMSL2,8.4 MP,,,
,-30°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/sony-starvis-imx485-4k-gmsl2-camera.asp,IMX485,,,NileCAM82_CUOAGX (AGX Orin/AGX Xavier),No,8mp gmsl orin xavier color fixed rolling low-light ultra-hd sony starvis 2-1ps 60fps  with-enclosure 1-12 no,8,62FPS,143,,1/1.2,/webstore.asp,,,Color,,62,,GMSL2,8.0 MP,,,
,-30°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/sony-starvis-imx462-low-light-gmsl2-camera.asp,IMX462,,,NileCAM210_CUOAGX (AGX Orin/AGX Xavier),No,2mp gmsl orin xavier color fixed rolling low-light sony starvis 2-9ps 60fps without-enclosure 1-28 no,2,60FPS,144,,1/2.8,/webstore.asp,,,Color,,60,,GMSL2,2.0 MP,,,
,-30°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/ar0821-4k-hdr-gmsl2-camera.asp,AR0821,,,NileCAM81_CUOAGX (AGX Orin/AGX Xavier),Yes,8mp gmsl orin xavier color fixed rolling hdr ultra-hd onsemi 2-1ps 60fps  without-enclosure 1-2 yes,8,60FPS,145,all nvidia-camera platform,1/1.7,/webstore.asp#NileCAM81_CUOAGX,,,Color,,60,,GMSL2,8.0 MP,,,
,-20°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/4k-imx415-low-light-gmsl2-multi-cameras.asp,IMX415,,,NileCAM80_CUOAGX (AGX Orin/AGX Xavier),No,8mp gmsl orin xavier color fixed rolling low-light ultra-hd starvis 2-1ps 60fps without-enclosure 1-2 no,8,60FPS,146,platform,1/2.8,/webstore.asp,,,Color,,60,,GMSL2,8.0 MP,,,
,-30°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/ar0234-fhd-gmsl2-global-shutter-camera.asp,AR0234,,,NileCAM25_CUOAGX (AGX Orin),Yes,2mp gmsl orin color fixed Global hd onsemi 100fps without-enclosure 3ps 1-26 yes,2,120FPS,147,all nvidia-camera platform,1/2.6,/webstore.asp#NileCAM25_CUOAGX,,,Color,,120,,GMSL2,Full HD,,,
,-40°C to 85°C,/nvidia-cameras/jetson-agx-orin-cameras/ar0233-fhd-gmsl2-hdr-camera-with-lfm.asp,AR0233AT,,,NileCAM21_CUOAGX (AGX Orin),Yes,fixed color 2mp gmsl rolling orin hdr hd onsemi 60fps without-enclosure 3ps 1-25 yes,2,60FPS,148,all nvidia-camera,1/2.5,/webstore.asp#NileCAM21_CUOAGX,,,Color,,60,,GMSL2,Full HD,,,
,-40°C to 85°C,/nvidia-cameras/jetson-agx-orin-cameras/ar0230-fhd-gmsl2-hdr-camera.asp,AR0230AT,,,NileCAM20_CUOAGX (AGX Orin / AGX Xavier),Yes,fixed color 2mp gmsl rolling hdr onsemi 60fps without-enclosure xavier orin 3ps 1-27 hd yes,2,60FPS,149,all nvidia-camera,1/2.7,/webstore.asp#NileCAM20_CUOAGX,,,Color,,60,,GMSL2,Full HD,,,
,-30°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/4k-ar0821-IP67-hdr-gmsl2-multi-camera.asp,AR0821,,,STURDeCAM81_CUOAGX (AGX Orin/AGX Xavier),Yes,fixed color 8mp gmsl onsemi rolling xavier orin hdr 60fps with-enclosure yes,8,60FPS,150,all nvidia-camera platform,1/1.7,/webstore.asp#STURDeCAM81_CUOAGX,,,Color,,60,,GMSL2,8.0 MP,,,
,-40°C to 85°C,/nvidia-cameras/jetson-agx-orin-cameras/ar0233-ip67-full-hd-gmsl2-hdr-camera.asp,AR0233AT,,,STURDeCAM21_CUOAGX (AGX Orin/AGX Xavier),Yes,fixed color 2mp gmsl rolling xavier orin hdr hd onsemi 30fps with-enclosure 3ps 1-25 yes,2,30FPS,151,all nvidia-camera,1/2.5,/webstore.asp#STURDeCAM21_CUOAGX,,,Color,,30,,GMSL2,Full HD,,,
,-30°C to 70°C,/nvidia-cameras/jetson-agx-orin-cameras/fhd-ar0234-IP67-global-shutter-gmsl2-multi-camera.asp,AR0234,,,STURDeCAM25_CUOAGX &nbsp;&nbsp;(AGX Orin),Yes,fixed color 2mp gmsl Global onsemi 100fps with-enclosure orin 3ps 1-26 hd autonomous_mobile_robots smart_traffic fleet_management yes,2,120FPS,152,all nvidia-camera platform,1/2.6,/webstore.asp#STURDeCAM25_CUOAGX,,,Color,,120,,GMSL2,Full HD,,,
,-40°C to 85°C,/nvidia-cameras/jetson-agx-orin-cameras/ar0230-ip67-gmsl2-hdr-camera-for-agx-xavier.asp,AR0230AT,,,STURDeCAM20_CUOAGX (AGX Orin),Yes,fixed color 2mp gmsl rolling hdr onsemi 60fps with-enclosure orin 3ps 1-27 hd yes,2,60FPS,153,all nvidia-camera,1/2.7,/webstore.asp#STURDeCAM20_CUOAGX,,,Color,,60,,GMSL2,Full HD,,,
,-40°C to 80°C,/automotive-cameras/3mp-aro341at-ip69k-gmsl2-150db-hdr-camera.asp,AR0341AT,,,STURDeCAM34 (GMSL2),Yes,fixed color 3mp gmsl rolling onsemi hdr 60fps with-enclosure 2ps yes,3,60FPS,154,hdr,1/3.6,/webstore.asp#STURDeCAM34,,,Color,,60,,GMSL2,3.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-nano-cameras/e-CAM30_CUNANO.asp,AR0330,/images/hub-page/e-cam30_cunano.png,/images/icons/resolution.png,e-CAM30_CUNANO&nbsp;&nbsp;(NANO),Yes,fixed color 3-4mp mipi rolling low-light hd nano onsemi 60fps without-enclosure 2-2ps 1-3 yes,3,60FPS,155,,1/3,/webstore.asp#CAM30_CUNANO,3.4 MP NVIDIA&reg; Jetson Nano&trade; Camera,/images/icons/usb.png,Color,3.4 MP Camera for Jetson Nano,60,,MIPI CSI-2,3.4 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 85°C,/nvidia-cameras/jetson-agx-xavier-cameras/stereo-camera.asp,OV2311,/images/hub-page/steereocam.png,/images/icons/resolution.png,STEEReoCAM&reg;&nbsp;&nbsp;(NANO/AGX Xavier/TX2),No,fixed monochrome 2mp mipi Global xavier nano tx2-tx1 OmniVision 30fps with-enclosure stereo dentistry assistive_technology autonomous_mobile_robots sports_broadcasting 3ps 1-29 no,2,30FPS,156,platform,1/2.9,/webstore.asp#steereocam_USB3_camera,Stereo Camera for Jetson Nano/Xavier/TX2,/images/icons/usb.png,Mono,Stereo Camera for Jetson Nano/Xavier/TX2,30,,MIPI CSI-2,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/3d-usb-stereo-camera-with-nvidia-accelerated-sdk.asp,MT9V024,/images/hub-page/taraxl.png,/images/icons/resolution.png,TaraXL&nbsp;&nbsp;(Xavier/TX2),No,fixed monochrome 0-3mp usb3 Global stereo tx2-tx1 x86 onsemi 60fps with-enclosure eye_track indoor_rover 6ps 1-3 no,0,60FPS,157,,1/3,/webstore.asp#taraxl_USB3_camera,USB Stereo Camera for NVIDIA GPU,/images/icons/usb.png,Mono,USB Stereo Camera for NVIDIA GPU,60,,USB 3.0,0.3 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 85°C,/nvidia-cameras/jetson-agx-xavier-cameras/sony-starvis-imx290-synchronized-multi-camera.asp,IMX290,/images/hub-page/surveilsquad.png,/images/icons/resolution.png,SurveilsQUAD&nbsp;&nbsp;(AGX Xavier),No,fixed color 2mp mipi rolling low-light hdr hd xavier sony 100fps without-enclosure smart_surveillance sports_broadcasting street_surveil video_confer 360deg_sur_view day_night_surveil inside_vehicle ultra_lowlight kiosk 2-9ps 1-28 no starvis,2,120FPS,158,,1/2.8,/webstore.asp#SurveilsQUAD,Sony IMX290 Synchronized Multi-Camera System,/images/icons/usb.png,Color,Multiple Camera Board for NVIDIA Jetson AGX Xavier,120,,MIPI CSI-2,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-agx-xavier-cameras/four-synchronized-4k-cameras.asp,AR1335,/images/hub-page/e-cam130a_cuxvr.png,/images/icons/resolution.png,e-CAM130A_CUXVR&nbsp;&nbsp;(AGX Xavier),Yes,300-2000 fixed color 13mp mipi rolling xavier onsemi 100fps without-enclosure ultra-hd smart_surveillance parking_lot_management 1-1ps 1-32 yes,13,100FPS,159,all nvidia-camera platform,1/3.2,/webstore.asp#13mpxaviercam,Multiple Camera Board for Jetson AGX Xavier,/images/icons/usb.png,Color,Multiple Camera Board for Jetson AGX Xavier,100,816FPS,MIPI CSI-2,13.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-30°C to 85°C,/raspberry-pi-4/ar1335-mipi-13mp-monochrome-camera.asp,AR1335M,,,e-CAM131_CURB (Raspberry Pi 4),No,13mp raspberry-Pi mipi fixed monochrome rolling low-light onsemi 100fps without-enclosure 100fps 1-32 no,13,120FPS,160,,1/3.2,/webstore.asp#e-CAM131_CURB,,,Mono,,120,,MIPI CSI-2,13.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/raspberry-pi-4/high-quality-mipi-csi-camera.asp,AR1335,/images/hub-page/e-cam130_curb.png,/images/icons/resolution.png,e-CAM130_CURB&nbsp;&nbsp;(Raspberry Pi 4),Yes,13MP raspberry-Pi mipi fixed color 13mp rolling hd ultra-hd onsemi 100fps without-enclosure 1-1ps 1-32 yes 300-2000,13,110FPS,161,platform,1/3.2,/webstore.asp#13mpraspberry,High Quality Camera for Raspberry Pi 4,/images/icons/usb.png,Color,13MP MIPI Raspberry Pi Camera board,110,>300FPS,MIPI CSI-2,13.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-30°C to 70°C,/raspberry-pi-4/5mp-ar0521-raspberry-pi-4-camera.asp,AR0521,,,e-CAM50_CURB (Raspberry Pi 4),No,5mp raspberry-Pi mipi fixed low-noise color rolling low-light onsemi 100fps without-enclosure 1-25 no,5,100FPS,162,,1/2.5,/webstore.asp#e-CAM50_CURB,,,Color,,100,,MIPI CSI-2,5.0 MP,,,
,-30°C to 70°C,/raspberry-pi-4/full-hd-sony-starvis-imx462-ultra-low-light-camera.asp,IMX462,,,e-CAM22_CURB&nbsp;&nbsp;(Raspberry Pi 4),Yes,2mp raspberry-Pi mipi fixed color rolling hd sony starvis 60fps without-enclosure 1-28 yes,2,60FPS,163,,1/2.8,/webstore.asp#e-CAM22_CURB,,,Color,,60,,MIPI CSI-2,Full HD,,,
/images/icons/fps.png,-30°C to 70°C,/raspberry-pi-4/global-shutter-raspberry-pi-camera.asp,AR0234,/images/hub-page/e-cam130_curb.png,/images/icons/resolution.png,e-CAM20_CURB&nbsp;&nbsp;(Raspberry Pi 4),Yes,2mp raspberry-Pi mipi fixed color Global hd onsemi 100fps without-enclosure 3ps 1-26 yes,2,120FPS,164,platform,1/2.6,/webstore.asp#e-CAM20_CURB,Full HD Camera for Raspberry Pi 4,/images/icons/usb.png,Color,Full HD Raspberry Pi 4 Camera,120,,MIPI CSI-2,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 85°C,/raspberry-pi-4/ov2311-mipi-2mp-monochrome-global-shutter-camera-module.asp,OV2311,/images/hub-page/e-cam130_curb.png,/images/icons/resolution.png,e-CAM21_CURB&nbsp;&nbsp;(Raspberry Pi 4),Yes,2mp raspberry-Pi mipi fixed monochrome Global hd OmniVision 60fps without-enclosure 3ps 1-32 no,2,90FPS,165,platform,1/3.2,/webstore.asp#e-CAM21_CURB,Full HD Camera for Raspberry Pi 4,/images/icons/usb.png,Mono,Full HD Monochrome Raspberry Pi 4 Camera,90,,MIPI CSI-2,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-30°C to 70°C,/renesas/ar0234-global-shutter-camera-for-renesas-rz-v2.asp,AR0234,,,e-CAM20_CURZ&nbsp;&nbsp;(Renesas&reg; RZ V2L/G2L),Yes,2mp renesas mipi fixed color Global hd onsemi 100fps without-enclosure 3ps 1-26 yes,2,120FPS,166,platform,1/2.6,/webstore.asp#e-CAM20_CURZ,,,Color,,120,,MIPI CSI-2,Full HD,,,
,-30°C to 70°C,/renesas/sony-starvis-imx462-ultra-low-light-camera-for-renesas-rz-v2l.asp,IMX462,,,e-CAM21_CURZ&nbsp;&nbsp;(Renesas&reg; RZ V2L/G2L),Yes,2mp renesas mipi fixed color hd starvis 60fps without-enclosure 2-2ps 1-28 yes,2,60FPS,167,,1/2.8,/webstore.asp#e-CAM21_CURZ,,,Color,,60,,MIPI CSI-2,Full HD,,,
,-30°C to 70°C,/renesas/sony-starvis-imx462-ultra-low-light-camera-for-renesas-rz-v2h.asp,IMX462,,,e-CAM22_CURZH&nbsp;&nbsp;(Renesas&reg; RZ/V2H),Yes,2mp renesas mipi fixed color hd low-light rolling starvis 60fps without-enclosure 2-2ps 1-28 yes,2,60FPS,168,,1/2.8,/webstore.asp#e-CAM22_CURZH,,,Color,,60,,MIPI CSI-2,Full HD,,,
/images/icons/fps.png,-30°C to 70°C,/4k-autofocus-camera-for-variscite-imx8.asp,AR1335,/images/hub-page/e-cam130_imx8.png,/images/icons/resolution.png,e-CAM130_iMX8M&nbsp;&nbsp;(i.MX8),Yes,300-2000 auto color 13mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure imx8 1-1ps 1-32 industrial_tablets yes,13,120FPS,169,platform,1/3.2,/webstore.asp#13mp_imx8_camera,4K Camera board for i.MX8 Mini,/images/icons/usb.png,Color,13MP MIPI i.MX8 Camera board,120,816FPS,MIPI CSI-2,13.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-30°C to 85°C,/toradex/ar1335m-13mp-monochrome-camera-for-imx8-quad-max.asp,AR1335M,,,e-CAM134_CUiMX8&nbsp;&nbsp;(i.MX8),Yes,fixed monochrome 13mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure imx8 1-1ps 1-32 no,13,120FPS,170,,1/3.2,/webstore.asp#e-CAM134_CUiMX8,4K Camera board for i.MX8 Mini,/images/icons/usb.png,Mono,,120,,MIPI CSI-2,13.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/toradex/13mp-camera-for-imx8-quad-max.asp,AR1335,/images/hub-page/e-cam131_cuimx8.png,/images/icons/resolution.png,e-CAM131_CUiMX8&nbsp;&nbsp;(i.MX8 Quad Max),Yes,300-2000 13mp mipi imx8 onsemi fixed rolling color 100fps without-enclosure 1-1ps 1-32 hd ultra-hd yes,13,100FPS,171,platform,1/3.2,/webstore.asp#e-CAM131_CUiMX8,13MP Camera for i.MX8 Processors,/images/icons/usb.png,Color,13MP MIPI i.MX 8QM Camera board,100,816FPS,MIPI CSI-2,13.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-20°C to 60°C,/toradex/16mp-sony-imx298-autofocus-camera-for-imx8-quad-max.asp,IMX298,,,e-CAM160_iMX8(i.MX8 Quad Max),Yes,16mp mipi  color auto rolling ultra-hd imx8 1-2ps 30fps Sony without-enclosure 1-28 yes  exmor,16,30FPS,172,platform,1/2.8,/webstore.asp#e-CAM160_iMX8,,,Color,,30,,MIPI CSI-2,16.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/toradex/5mp-camera-for-imx8-quad-max.asp,AR0521,/images/hub-page/e-cam50_cuimx8.png,/images/icons/resolution.png,e-CAM50_CUiMX8&nbsp;&nbsp;(i.MX8 Quad Max),Yes,5mp mipi imx8 onsemi fixed rolling color 60fps without-enclosure 2-2ps 1-25 hd low-noise yes,5,65FPS,173,,1/2.5,/webstore.asp#e-CAM50_CUiMX8,5MP Camera for i.MX8 Processors,/images/icons/usb.png,Color,5MP MIPI i.MX 8QM Camera board,65,,MIPI CSI-2,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/toradex/auto-focus-camera-for-imx8-quad-max.asp,AR1335,/images/hub-page/e-cam133_imx8.png,/images/icons/resolution.png,e-CAM133_iMX8&nbsp;&nbsp;(i.MX8 Quad Max),Yes,300-2000 13mp mipi imx8 onsemi auto rolling color 100fps without-enclosure 1-1ps 1-32 hd ultra-hd yes,13,120FPS,174,platform,1/3.2,/webstore.asp#e-CAM133_iMX8,Auto Focus Camera for i.MX8 Processors,/images/icons/usb.png,Color,13MP MIPI i.MX 8QM Camera board,120,816FPS,MIPI CSI-2,13.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/toradex/sony-starvis-imx462-ultra-lowlight-camera-for-imx8.asp,IMX462,/images/hub-page/e-cam20_cuimx8.png,/images/icons/resolution.png,e-CAM22_CUiMX8&nbsp;&nbsp;(i.MX8),No,fixed color 2mp mipi rolling imx8 sony starvis hd 60fps low-light without-enclosure 1-28 no,2,60FPS,175,,1/2.8,/webstore.asp#e-CAM133_iMX8,Sony Starvis IMX462 Ultra-Lowlight Camera for i.MX8 Processors,/images/icons/usb.png,Color,Sony Starvis IMX462 Ultra-Lowlight Camera for i.MX8 Processors,60,,MIPI CSI-2,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/toradex/ar0234-global-shutter-camera-for-imx8.asp,AR0234,/images/hub-page/e-cam20_cuimx8.png,/images/icons/resolution.png,e-CAM21_CUiMX8&nbsp;&nbsp;(i.MX8),Yes,fixed color 2mp mipi Global imx8 onsemi hd 100fps without-enclosure 3ps 1-26 autonomous_mobile_robots smart_traffic yes,2,120FPS,176,platform,1/2.6,/webstore.asp#e-CAM21_CUiMX8,AR0234 Global Shutter Camera for i.MX8 Processors,/images/icons/usb.png,Color,2MP Sony STARVIS IMX290 Ultra-Lowlight Camera for i.MX8 Quad Max,120,,MIPI CSI-2,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-40°C to +80°C,/toradex/2mp-ov2312-global-shutter-rgb-ir-camera-for-imx8.asp,OV2312,,,e-CAM27_CUiMX8&nbsp;&nbsp;(i.MX8),Yes,2mp mipi color ir colornir imx8 fixed Global rgbir 2-1ps 30fps OmniVision without-enclosure yes,2,36FPS,177,platform,1/2.9,/webstore.asp#e-CAM27_CUiMX8,,,Color & NIR,,36,,MIPI CSI-2,2.0 MP,,,
/images/icons/fps.png,-30°C to 60°C,/toradex/sony-starvis-imx290-camera-for-imx8-quad-max.asp,IMX290,/images/hub-page/e-cam20_cuimx8.png,/images/icons/resolution.png,e-CAM20_CUiMX8&nbsp;&nbsp;(i.MX8 Quad Max),No,2mp mipi imx8 color fixed rolling low-light hd sony 60fps without-enclosure 1-28 2-9ps no starvis,2,60FPS,178,,1/2.8,/webstore.asp#e-CAM20_CUiMX8,IMX290 Ultra-Lowlight Camera for i.MX8 Processors,/images/icons/usb.png,Color,2MP Sony STARVIS IMX290 Ultra-Lowlight Camera for i.MX8 Quad Max,60,,MIPI CSI-2,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/5mp-mipi-camera-for-rock960-rk3399-board.asp,AR0521,/images/hub-page/e-cam50_cu96.png,/images/icons/resolution.png,e-CAM50_CU96&nbsp;&nbsp;(Rockchip Camera),Yes,fixed color 5mp mipi rolling onsemi rockchip 60fps without-enclosure 2-2ps 1-25 low-noise hd yes,5,70FPS,179,,1/2.5,/webstore.asp#e-CAM50_CU96,5.0 MP camera for Rockchip RK3399,/images/icons/usb.png,Color,5MP Camera for Rockchip RK3399,70,,MIPI CSI-2,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/google-coral/5mp-mipi-camera-board.asp,AR0521,/images/hub-page/e-cam50_cucrl.png,/images/icons/resolution.png,e-CAM50_CUCRL&nbsp;&nbsp;(Coral),Yes,fixed color 5mp mipi rolling coral onsemi 60fps without-enclosure low-noise hd 60fps 2-2ps 1-25 yes,5,70FPS,180,,1/2.5,/webstore.asp#e-CAM50_CUCRL,5.0 MP Google Coral Camera,/images/icons/usb.png,Color,5MP Camera for Google Coral development board,70,,MIPI CSI-2,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/google-coral/3mp-mipi-camera-board.asp,AR0330,/images/hub-page/e-cam30_cucrl.png,/images/icons/resolution.png,e-CAM30_CUCRL&nbsp;&nbsp;(Coral),Yes,fixed color ir 3-4mp mipi rolling coral low-light onsemi 60fps without-enclosure 2-2ps 1-3 yes,3,60FPS,181,,1/3,/webstore.asp#e-CAM50_CUCRL,3.4 MP Google Coral Camera,/images/icons/usb.png,Color & NIR,3.4 MP Camera for Google Coral development board,60,,MIPI CSI-2,3.4 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-30°C to 70°C,/qualcomm-embedded-cameras/qcs610-ai-vision-kit-imx415.asp,IMX415,,,qSmartAI80_CUQ610&nbsp;&nbsp;(Qualcomm),Yes,8mp mipi qualcomm-qcs-610-410 color fixed rolling smartcam hd ultra-hd low-light sony 30fps without-enclosure 1-28 1-45ps yes sports_broadcasting autonomous_mobile_robots smart_checkout_and_carts smart_traffic retail_kiosk starvis,8,30FPS,182,platform,1/2.8,/webstore.asp#qsmartai80cuq610,,,Color,,30,,MIPI CSI-2,8.0 MP,,,
,-30°C to 85°C,/qualcomm-embedded-cameras/qcs610-ai-vision-kit-imx462.asp,IMX462,,,qSmartAI20_CUQ610&nbsp;&nbsp;(Qualcomm),Yes,2mp mipi qualcomm-qcs-610-410 color fixed rolling smartcam hd low-light sony 30fps without-enclosure 1-28 2-9ps yes sports_broadcasting autonomous_mobile_robots smart_checkout_and_carts smart_traffic retail_kiosk starvis,2,30FPS,183,,1/2.8,/webstore.asp#qSmartAI20_CUQ610,,,Color,,30,,MIPI CSI-2,2.0 MP,,,
,-30°C to 70°C,/qualcomm-embedded-cameras/5mp-mipi-camera-for-qualcomm-qc820c-board.asp,AR0521,,,e-CAM51_CU96&nbsp;&nbsp;(Qualcomm),Yes,5mp mipi qualcomm-820e onsemi color fixed rolling low-noise hd 60fps without-enclosure 1-25 2-2ps yes ophthalmology laboratory_equipment retail_kiosk dermatology,5,70FPS,184,,1/2.5,/webstore.asp#e-CAM51_CU96,,,Color,,70,,MIPI CSI-2,5.0 MP,,,
,-30°C to 70°C,/qualcomm-embedded-cameras/robotics-rb5-kit/ar1335-13mp-gmsl2-cameras.asp,AR1335M,,,NileCAM130M_CUQRB5(Qualcomm&reg;  RB5),No,13mp gmsl qualcomm-rb5 monochrome fixed rolling 1.1ps 30fps onsemi without-enclosure 1-32 no,13,30FPS,185,,1/3.2,/webstore.asp#NileCAM130M_CUQRB5,,,Mono,,30,,GMSL2,13.0 MP,,,
,-30°C to 70°C,/qualcomm-embedded-cameras/robotics-rb5-kit/ar1335-13mp-monochrome-mipi-cameras.asp,AR1335M,,,e-CAM130M_CUQRB5(Qualcomm&reg;  RB5),No,13mp mipi qualcomm-rb5 monochrome fixed rolling 1.1ps 30fps onsemi without-enclosure 1-32 no,13,30FPS,186,,1/3.2,/webstore.asp#e-CAM130M_CUQRB5,,,Mono,,30,,MIPI CSI-2,13.0 MP,,,
,-30°C to 70°C,/qualcomm-embedded-cameras/robotics-rb5-kit/sony-starvis-imx715-8mp-gmsl2-cameras.asp,IMX715,,,NileCAM85_CUQRB5(Qualcomm&reg;  RB5),No,8mp gmsl qualcomm-rb5 color fixed rolling 1.1ps 30fps starvis without-enclosure 1-28 no,8,30FPS,187,platform,1/2.8,/webstore.asp#NileCAM85_CUQRB5,,,Color,,30,,GMSL2,8.0 MP,,,
,-30°C to 70°C,/qualcomm-embedded-cameras/robotics-rb5-kit/sony-starvis-imx715-8mp-mipi-cameras.asp,IMX715,,,e-CAM85_CUQRB5(Qualcomm&reg;  RB5),No,8mp mipi qualcomm-rb5 color fixed rolling 1.1ps 30fps starvis without-enclosure 1-28 no,8,30FPS,188,platform,1/2.8,/webstore.asp#e-CAM85_CUQRB5,,,Color,,30,,MIPI CSI-2,8.0 MP,,,
